DWA_ID,DWA_Title,analysis_group,Eloundou_task,AIOE,FreyOsborne
4.A.3.b.4.I02.D18,Maintain electromechanical equipment.,mixed_dwa,0.125,-0.3040507,0.81
4.A.2.b.6.I02.D05,Adjust routes or speeds as necessary.,M1,0.75,0.0018704999999999,0.45
4.A.3.a.1.I10.D10,Move construction or extraction materials to locations where they are needed.,M1,0.0,-1.5179026307692307,0.8166666666666668
4.A.3.a.2.I46.D03,Attach rigging to objects so they can be moved.,Noise,0.0,-1.1621235,0.535
4.A.4.b.4.I12.D32,Coordinate project activities with other personnel or departments.,M6,0.4583333333333333,1.262839,0.525
4.A.4.a.7.I02.D12,Negotiate for services.,M6,0.2916666666666667,0.98226334,0.0274
4.A.1.a.2.I01.D04,Monitor lubrication of equipment or workpieces.,M4,0.1666666666666666,-0.6079157,0.75
4.A.1.b.2.I10.D01,Compare physical characteristics of materials or products to specifications or standards.,Noise,0.25,-0.8388730999999999,0.8716666666666667
4.A.1.b.3.I01.D05,Measure radiation levels.,mixed_dwa,0.6666666666666666,0.5710285333333333,0.5803333333333334
4.A.4.a.3.I03.D02,Present business-related information to audiences.,M6,0.5416666666666666,1.321694,0.4073333333333333
4.A.4.b.4.I10.D04,Direct installation activities.,Noise,0.25,0.8953917857142857,0.1681428571428571
4.A.4.b.6.I05.D01,"Advise others on farming or forestry operations, regulations, or equipment.",M7,0.4,-0.8316890999999998,0.905
4.A.4.a.3.I02.D04,Provide educational information to the public.,M6,0.4583333333333333,0.5667953166666666,0.223
4.A.3.b.6.I06.D03,Prepare medical reports or documents.,M6,0.6428571428571429,-0.1941077666666666,0.4131999999999999
4.A.1.a.1.I20.D09,Research product safety.,M5,0.5,0.9948935,0.028
4.A.3.a.1.I12.D02,Provide escort or transportation.,M1,0.0,-0.3831599199999999,0.3369999999999999
4.A.4.b.4.I12.D07,Manage environmental sustainability projects.,M7,0.3928571428571428,0.79552534,0.188
4.A.1.a.1.I04.D01,Obtain property information.,mixed_dwa,0.6388888888888888,0.77079664,0.6096
4.A.2.b.1.I04.D02,Determine appropriate locations for operations or installations.,Noise,0.375,-1.2832483,0.6033333333333334
4.A.4.b.3.I01.D01,Teach basic living or other adaptive skills to patients or caregivers.,M6,0.2,-0.4575541333333333,0.149
4.A.1.a.1.I16.D03,Conduct research of processes in natural or industrial ecosystems.,M4,0.375,0.75998012,0.01902
4.A.4.c.1.I01.D05,Perform student enrollment or registration activities.,M6,0.5,1.1937207189189187,0.0994
4.A.3.a.2.I17.D03,Fabricate medical devices.,mixed_dwa,0.2222222222222222,0.0976833777777777,0.13875
4.A.2.a.4.I12.D01,Conduct quantitative failure analyses of operational data.,M4,0.5,0.6433529375,0.162625
4.A.2.a.4.I10.D04,Analyze laboratory findings.,M6,0.5,0.444772725,0.0039
4.A.3.b.6.I14.D06,Prepare information or documentation related to legal or regulatory matters.,Noise,0.5277777777777778,1.14071405,0.346875
4.A.2.b.5.I01.D04,Schedule activities or facility use.,M6,0.5416666666666666,0.7671509625,0.025825
4.A.3.a.2.I07.D06,Shape surfaces or edges of wood workpieces.,M2,0.0,-1.12494698,0.8099999999999999
4.A.4.b.3.I05.D04,Train others in computer interface or software use.,M6,0.484375,1.382724,0.22
4.A.4.c.3.I05.D07,Order medical supplies or equipment.,M7,0.5666666666666667,-0.0623395416666666,0.3072916666666667
4.A.4.a.5.I12.D04,Treat dental problems or diseases.,M6,0.015625,-0.234688775,0.023
4.A.4.b.4.I12.D09,Coordinate logistics or other business operations.,M1,0.475,0.7952452714285715,0.2307999999999999
4.A.3.b.6.I02.D05,Record information from legal proceedings.,Noise,0.75,1.462973,
4.A.4.a.6.I03.D09,Distribute promotional literature or samples to customers.,M6,0.34375,0.9012968285714286,0.4898571428571428
4.A.1.a.1.I20.D05,Research advanced engineering designs or applications.,M4,0.475,0.7912096571428571,0.0868571428571428
4.A.2.b.2.I15.D03,Develop instructional objectives.,M6,0.5,1.1011002195652175,0.09326
4.A.4.b.4.I03.D04,Coordinate athletic or sporting events or activities.,M6,0.2708333333333333,0.04215255,0.4965
4.A.3.a.2.I01.D15,Install roofing materials.,Noise,0.0,-1.675921,0.852
4.A.1.b.3.I04.D05,Assess locations for potential green technology installations.,Noise,0.4166666666666667,-0.1784751,0.2566666666666666
4.A.3.a.1.I07.D09,Spread concrete or other aggregate mixtures.,Noise,0.0,-1.511496857142857,0.8628571428571429
4.A.3.a.1.I14.D01,Climb ladders or vehicles to perform duties.,Noise,0.0,-1.2051746,0.8150000000000001
4.A.4.a.1.I02.D05,Communicate organizational information to customers or other stakeholders.,Noise,0.4166666666666667,1.1534529222222225,0.13775
4.A.4.c.1.I04.D01,Issue permits or other legal documents.,M1,0.625,-0.1088975,0.248
4.A.3.a.1.I07.D05,"Spread sand, dirt or other loose materials onto surfaces.",M2,0.0,-1.3666228,0.8085714285714286
4.A.3.a.2.I38.D03,Collect geographical or geological field data.,M4,0.3181818181818182,0.7738976750000001,0.3265
4.A.3.b.6.I12.D01,Document lesson plans.,M6,0.4791666666666667,0.682631775,0.1303142857142857
4.A.4.b.4.I12.D05,Coordinate sales campaigns.,M7,0.45,0.83122904,0.479
4.A.1.a.1.I10.D03,Investigate the environmental impact of projects.,M7,0.5,1.004829876923077,0.078076923076923
4.A.4.a.5.I09.D05,Assist students with special educational needs.,M6,0.0595238095238095,0.6236466636363637,0.0894222222222222
4.A.2.a.4.I01.D04,Analyze environmental data.,M4,0.5961538461538461,0.7034716750000001,0.283375
4.A.4.b.3.I04.D08,Train staff members.,M6,0.3125,0.8721841571428571,0.2414
4.A.4.b.4.I11.D02,Coordinate student extracurricular activities.,M6,0.175,0.9072122285714286,0.0902
4.A.4.b.4.I12.D33,Direct department activities.,M6,0.4236111111111111,1.2054810257142858,0.59
4.A.2.a.4.I03.D02,Analyze risks related to investments in green technology.,Noise,0.5357142857142857,1.090561875,0.30125
4.A.4.b.6.I02.D01,Recommend types of assistive devices.,M6,0.4166666666666667,0.2238155333333333,0.15116
4.A.3.a.2.I05.D03,Repair textiles or apparel.,M2,0.0,-1.27377958,0.66
4.A.3.a.2.I34.D02,Rewire electrical or electronic systems.,Noise,0.0,-1.0411294333333334,0.62
4.A.4.b.6.I08.D02,Advise others on matters of public policy.,M5,0.45,0.9910500375,0.0828375
4.A.1.b.2.I07.D04,Inspect equipment or facilities to determine condition or maintenance needs.,M4,0.25,-0.923061825,0.7433333333333333
4.A.1.a.1.I20.D07,Research human performance or health factors related to engineering or design activities.,Noise,0.4722222222222222,0.9144771333333334,0.0289999999999999
4.A.3.a.2.I06.D01,Feed materials or products into or through equipment.,Noise,0.0,-0.976810415,0.8795
4.A.3.b.4.I08.D01,Service green vehicles to make repairs or maintain good working order.,M4,0.125,-0.98258875,0.6599999999999999
4.A.3.b.6.I08.D15,Maintain records of customer accounts.,mixed_dwa,0.75,1.00466375,0.62
4.A.3.a.1.I05.D04,Remove trash.,M2,0.0,-1.482514,0.8200000000000001
4.A.2.b.6.I01.D01,Plan special events.,M6,0.25,-0.195366125,0.3414999999999999
4.A.3.a.1.I17.D07,Cultivate land.,Noise,0.0,-0.184381,0.0081
4.A.2.b.2.I25.D04,Design jewelry or decorative objects.,Noise,0.3333333333333333,-0.8409452333333333,0.9166666666666666
4.A.3.b.6.I07.D05,Prepare proposal documents or grant applications.,Noise,0.55,1.10956575,0.12325
4.A.4.b.3.I04.D18,Train others on work processes.,M6,0.375,0.4775310222222222,0.2572222222222222
4.A.4.a.2.I07.D01,Collaborate with other professionals to develop education or assistance programs.,M6,0.3214285714285714,0.6971261571428571,0.0151
4.A.4.a.5.I12.D01,Care for patients with mental illnesses.,M6,0.1,0.2432774,0.0635
4.A.4.b.6.I11.D02,Recommend investments to clients.,M6,0.5,1.308826,0.2724999999999999
4.A.2.b.3.I01.D14,Attend training to learn new skills or update knowledge.,M6,0.25,-0.7149918333333334,0.325
4.A.2.b.3.I01.D01,Review professional literature to maintain professional knowledge.,M4,0.5277777777777778,1.1624657588235294,0.1323941176470588
4.A.4.b.4.I16.D03,Coordinate legal schedules or activities.,M6,0.59375,1.2675000714285714,0.662
4.A.3.b.6.I09.D03,Document network-related activities or tasks.,M4,0.6944444444444444,,
4.A.2.a.4.I07.D13,Evaluate logistics methods to reduce environmental impact.,mixed_dwa,0.5625,1.1378106,0.012
4.A.4.a.5.I02.D05,Treat patients using physical therapy techniques.,M6,0.0357142857142857,-0.348560375,0.028275
4.A.3.a.1.I03.D05,Clean work areas.,M2,0.0,-0.734613925,0.773
4.A.2.a.1.I10.D01,Evaluate project designs to determine adequacy or feasibility.,Noise,0.5,1.2212885,0.1275
4.A.4.c.1.I03.D06,Process customer bills or payments.,M6,0.6964285714285714,-0.53024366,0.8029999999999999
4.A.3.a.2.I04.D02,Assemble equipment or components.,Noise,0.0833333333333333,0.2964000111111111,0.425
4.A.2.a.2.I03.D05,Compile environmental or climatological data.,M4,0.5,0.6990857666666667,0.0273333333333333
4.A.2.a.3.I01.D07,"Review environmental permits, plans, or reports.",Noise,0.5416666666666666,0.79305608,0.0452
4.A.3.b.6.I13.D04,Prepare forms or applications.,M1,0.5208333333333334,1.0769979,0.18195
4.A.4.b.3.I04.D01,Train personnel to enhance job skills.,M6,0.3461538461538461,0.7376089166666667,0.1705555555555555
4.A.3.a.2.I46.D08,Install mechanical components in production equipment.,Noise,0.0,-1.0243987384615385,0.8476923076923076
4.A.4.a.1.I02.D01,Inform others about laws or regulations.,Noise,0.5,-0.2658830333333333,0.1941333333333333
4.A.3.b.6.I08.D17,Document work hours or activities.,Noise,0.625,-0.6219457666666667,0.7233333333333333
4.A.1.a.1.I14.D03,Obtain personal or financial information about customers or applicants.,M6,0.7,0.9591245333333333,0.9233333333333332
4.A.2.a.4.I07.D11,Analyze data to inform personnel decisions.,M4,0.5,1.309326,0.4827499999999999
4.A.4.a.2.I03.D01,Communicate with other workers to coordinate activities.,M6,0.3125,-0.6375940285714287,0.7642857142857142
4.A.2.b.2.I15.D08,Develop educational programs.,M6,0.4,0.7433017444444444,0.0194625
4.A.4.b.3.I04.D03,Train others in operational procedures.,M6,0.25,-0.4951124,0.515375
4.A.3.a.2.I35.D03,Solder parts or connections between parts.,Noise,0.0,-0.7656100625,0.6108750000000001
4.A.4.a.5.I12.D08,Treat patients using alternative medical procedures.,M6,0.0277777777777777,0.1754463333333333,0.00585
4.A.1.b.2.I05.D13,Inspect facilities to ensure compliance with security or safety regulations.,mixed_dwa,0.3611111111111111,-0.2322695625,0.2426666666666666
4.A.4.b.4.I14.D03,Manage documentation to ensure organization or accuracy.,M5,0.5,0.9646872,0.25
4.A.4.b.3.I02.D02,Teach classes in area of specialization.,M6,0.37,0.8947875437499999,0.1932583333333333
4.A.4.b.4.I12.D38,Manage healthcare operations.,M6,0.4605263157894737,0.379678025,0.01236
4.A.3.a.4.I01.D10,Drive trucks or truck-mounted equipment.,M1,0.5192307692307693,-1.1526948555555556,0.74
4.A.4.a.5.I09.D08,Provide for basic needs of children.,Noise,0.0,0.0006278999999999,0.08135
4.A.1.a.1.I23.D04,Interview people to obtain information about actions or status of individuals.,M6,0.3125,-0.352116325,0.2689999999999999
4.A.3.a.1.I02.D01,Operate firefighting equipment.,M4,0.03125,-0.8313154250000001,0.2904
4.A.2.a.4.I07.D10,"Analyze jobs using observation, survey, or interview techniques.",M4,0.4285714285714285,1.390235,0.204
4.A.3.a.2.I15.D03,Smooth surfaces of objects or equipment.,M2,0.0,-0.975784,0.8616666666666667
4.A.3.b.6.I06.D02,Document client health or progress.,M6,0.5,-0.6451964,0.2360249999999999
4.A.2.b.4.I03.D15,Develop testing routines or procedures.,M4,0.5138888888888888,0.4501044,0.61
4.A.3.b.6.I08.D31,Record production information.,Noise,0.8125,-0.261365,0.92
4.A.3.a.4.I01.D13,Operate locomotives or other rail vehicles.,Noise,0.5681818181818182,-0.6649155,0.935
4.A.3.a.2.I45.D02,"Apply finishes to artwork, crafts, or displays.",M2,0.375,-0.5555585000000001,0.0326666666666666
4.A.3.a.2.I03.D09,Prepare breads or doughs.,M2,0.0,-0.6942435,0.768
4.A.1.b.2.I09.D04,"Examine mouth, teeth, gums, or related facial structures.",M6,0.2,-0.0586024333333333,0.0274666666666666
4.A.4.a.2.I09.D01,Collaborate with others to determine production details.,M6,0.25,0.1251334666666666,0.4866666666666666
4.A.4.c.3.I05.D03,"Purchase materials, equipment, or other resources.",Noise,0.4741379310344827,0.6351971739130434,0.1643260869565217
4.A.4.b.3.I03.D01,Educate the public about fire safety or prevention.,mixed_dwa,0.375,-0.4906172333333334,0.2326666666666667
4.A.4.a.5.I06.D02,Fit patients for assistive devices.,M6,0.0833333333333333,-0.6466853,0.3793333333333333
4.A.2.a.2.I02.D04,Sort forestry or agricultural materials.,Noise,0.0625,-1.3455073333333332,0.64
4.A.2.a.2.I05.D04,Verify accuracy of patient information.,M6,0.6428571428571429,0.15543202,0.4955
4.A.2.b.3.I01.D23,Review laws or regulations to maintain professional knowledge.,Noise,0.5,0.61849395,0.945
4.A.4.b.4.I09.D04,Prepare operational budgets.,M7,0.5192307692307693,1.111824961904762,0.1967333333333333
4.A.4.b.4.I08.D03,Manage control system activities in organizations.,Noise,0.475,0.7076851142857142,0.1305714285714286
4.A.3.b.4.I07.D03,Repair tires.,Noise,0.0,-1.1612676,0.79
4.A.4.b.4.I12.D30,Direct passenger or freight transport activities.,M1,0.4107142857142857,-0.490827925,0.5675
4.A.2.b.2.I25.D03,Choreograph dances.,M6,0.4583333333333333,-2.1227635,0.004
4.A.3.a.2.I12.D07,Cut wood components for installation.,M2,0.0,-1.514493,0.8283333333333333
4.A.1.b.2.I02.D01,Test green technologies or processes.,mixed_dwa,0.3571428571428571,0.685716725,0.1654999999999999
4.A.2.a.4.I01.D01,Locate natural resources using geospatial or other environmental data.,M4,0.4642857142857143,0.7143481,0.63
4.A.2.b.5.I02.D03,Schedule instructional activities.,M6,0.4722222222222222,0.9424056,0.1091666666666666
4.A.3.a.3.I03.D01,Operate drilling equipment.,Noise,0.1428571428571428,-0.7737326,0.53
4.A.2.a.4.I02.D05,Analyze website or related online data to track trends or usage.,M4,0.6071428571428571,1.426757,0.61
4.A.2.b.2.I02.D10,Design software applications.,Noise,0.5,1.382724,0.22
4.A.2.a.2.I01.D02,Verify information or specifications.,Noise,0.6388888888888888,-0.6028295,0.5690454545454545
4.A.4.b.6.I06.D02,Advise communities or institutions regarding health or safety issues.,M5,0.4807692307692308,0.39151725,0.0301333333333333
4.A.3.a.2.I09.D14,Adjust flow of electricity to tools or production equipment.,M4,0.4166666666666667,-0.8058708499999999,0.836
4.A.4.b.4.I10.D02,Direct construction or extraction personnel.,Noise,0.2,-1.0001127466666666,0.6106666666666667
4.A.2.a.3.I01.D09,Review plans or proposals for environmental conservation.,mixed_dwa,0.5416666666666666,0.7552721,0.19775
4.A.1.a.1.I09.D02,Research industrial processes or operations.,Noise,0.4,1.0989348,0.043
4.A.3.a.2.I04.D07,Install vehicle parts or accessories.,Noise,0.0,-1.0778146375,0.76875
4.A.4.a.3.I03.D09,"Provide basic information to guests, visitors, or clients.",Noise,0.4545454545454545,0.2717671,0.1974833333333333
