DWA_ID,DWA_Title,total_steps,M1_count,M1_share,M2_count,M2_share,M3_count,M3_share,M4_count,M4_share,M5_count,M5_share,M6_count,M6_share,M7_count,M7_share,Noise_count,Noise_share,dominant_macro,dominant_share,macro_diversity,entropy
4.A.3.b.4.I02.D18,Maintain electromechanical equipment.,8,0,0.0,0,0.0,0,0.0,3,0.375,2,0.25,0,0.0,0,0.0,3,0.375,M4,0.375,3,1.5613
4.A.2.b.6.I02.D05,Adjust routes or speeds as necessary.,7,7,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,M1,1.0,1,-0.0
4.A.3.a.1.I10.D10,Move construction or extraction materials to locations where they are needed.,5,4,0.8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,M1,0.8,2,0.7219
4.A.3.a.2.I46.D03,Attach rigging to objects so they can be moved.,7,0,0.0,2,0.2857,0,0.0,2,0.2857,0,0.0,0,0.0,0,0.0,3,0.4286,Noise,0.4286,3,1.5567
4.A.4.b.4.I12.D32,Coordinate project activities with other personnel or departments.,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.6667,0,0.0,2,0.3333,M6,0.6667,2,0.9183
4.A.4.a.7.I02.D12,Negotiate for services.,9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,0.6667,0,0.0,3,0.3333,M6,0.6667,2,0.9183
4.A.1.a.2.I01.D04,Monitor lubrication of equipment or workpieces.,7,1,0.1429,1,0.1429,0,0.0,4,0.5714,0,0.0,0,0.0,0,0.0,1,0.1429,M4,0.5714,4,1.6645
4.A.1.b.2.I10.D01,Compare physical characteristics of materials or products to specifications or standards.,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1667,5,0.8333,Noise,0.8333,2,0.65
4.A.1.b.3.I01.D05,Measure radiation levels.,8,2,0.25,0,0.0,1,0.125,2,0.25,0,0.0,0,0.0,0,0.0,3,0.375,Noise,0.375,4,1.9056
4.A.4.a.3.I03.D02,Present business-related information to audiences.,8,0,0.0,0,0.0,0,0.0,1,0.125,0,0.0,6,0.75,0,0.0,1,0.125,M6,0.75,3,1.0613
4.A.4.b.4.I10.D04,Direct installation activities.,8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,1.0,Noise,1.0,1,-0.0
4.A.4.b.6.I05.D01,"Advise others on farming or forestry operations, regulations, or equipment.",8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,1.0,0,0.0,M7,1.0,1,-0.0
4.A.4.a.3.I02.D04,Provide educational information to the public.,8,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,0.625,0,0.0,3,0.375,M6,0.625,2,0.9544
4.A.3.b.6.I06.D03,Prepare medical reports or documents.,6,1,0.1667,0,0.0,0,0.0,0,0.0,1,0.1667,4,0.6667,0,0.0,0,0.0,M6,0.6667,3,1.2516
4.A.1.a.1.I20.D09,Research product safety.,9,0,0.0,0,0.0,0,0.0,1,0.1111,6,0.6667,0,0.0,1,0.1111,1,0.1111,M5,0.6667,4,1.4466
4.A.3.a.1.I12.D02,Provide escort or transportation.,7,6,0.8571,0,0.0,0,0.0,1,0.1429,0,0.0,0,0.0,0,0.0,0,0.0,M1,0.8571,2,0.5917
4.A.4.b.4.I12.D07,Manage environmental sustainability projects.,10,0,0.0,0,0.0,0,0.0,1,0.1,1,0.1,0,0.0,4,0.4,4,0.4,M7,0.4,4,1.7219
