item_num,DWA_ID
1,4.A.1.b.1.I02.D02
2,4.A.2.b.5.I02.D04
3,4.A.3.a.1.I07.D08
4,4.A.3.b.1.I06.D10
5,4.A.1.a.1.I08.D03
6,4.A.4.c.2.I02.D03
7,4.A.2.a.2.I02.D03
8,4.A.3.a.1.I06.D08
9,4.A.1.b.2.I06.D17
10,4.A.2.a.4.I07.D16
11,4.A.4.b.4.I09.D09
12,4.A.4.b.6.I11.D03
13,4.A.3.a.4.I01.D05
14,4.A.3.b.6.I11.D05
15,4.A.1.a.2.I01.D06
16,4.A.3.a.2.I17.D01
17,4.A.3.a.1.I11.D07
18,4.A.3.a.3.I04.D05
19,4.A.4.b.6.I03.D03
20,4.A.3.a.2.I09.D04
21,4.A.4.b.4.I01.D13
22,4.A.3.b.4.I01.D01
23,4.A.4.a.6.I02.D01
24,4.A.3.a.1.I09.D01
25,4.A.4.b.4.I03.D03
26,4.A.2.b.2.I07.D05
27,4.A.3.a.3.I12.D04
28,4.A.3.a.1.I03.D11
29,4.A.2.b.2.I16.D02
30,4.A.3.a.2.I03.D07
31,4.A.3.a.3.I03.D07
32,4.A.2.a.1.I02.D04
33,4.A.1.b.2.I06.D01
34,4.A.3.a.2.I04.D09
35,4.A.4.b.3.I02.D08
36,4.A.4.a.5.I03.D01
37,4.A.1.a.2.I05.D04
38,4.A.2.a.4.I05.D01
39,4.A.2.a.3.I03.D05
40,4.A.4.a.2.I03.D17
41,4.A.2.b.2.I05.D03
42,4.A.3.a.3.I07.D02
43,4.A.1.b.2.I12.D02
44,4.A.1.a.2.I07.D08
45,4.A.3.a.2.I41.D08
46,4.A.2.b.2.I14.D04
47,4.A.2.b.3.I01.D22
48,4.A.1.b.2.I07.D18
49,4.A.2.b.2.I18.D04
50,4.A.1.a.2.I01.D10
51,4.A.3.a.1.I10.D01
52,4.A.3.a.2.I23.D01
53,4.A.1.a.2.I06.D07
54,4.A.3.a.1.I12.D06
55,4.A.1.b.2.I05.D02
56,4.A.2.a.3.I01.D02
57,4.A.3.a.1.I03.D02
58,4.A.1.a.1.I20.D01
59,4.A.3.a.2.I05.D02
60,4.A.2.b.2.I18.D12
61,4.A.4.a.5.I04.D01
62,4.A.4.a.2.I08.D07
63,4.A.1.b.2.I01.D08
64,4.A.4.b.4.I01.D19
65,4.A.3.b.4.I04.D07
66,4.A.2.a.4.I10.D03
67,4.A.1.b.3.I05.D01
68,4.A.1.a.1.I02.D02
69,4.A.4.a.2.I08.D02
70,4.A.4.c.3.I03.D08
71,4.A.4.b.3.I04.D10
72,4.A.2.b.1.I11.D02
73,4.A.3.b.1.I06.D07
74,4.A.1.b.1.I01.D01
75,4.A.3.b.6.I15.D02
76,4.A.4.b.4.I09.D01
77,4.A.4.c.1.I01.D10
78,4.A.4.a.5.I03.D02
79,4.A.4.a.5.I11.D03
80,4.A.2.a.1.I02.D07
81,4.A.3.b.6.I05.D03
82,4.A.3.a.3.I07.D03
83,4.A.3.a.2.I14.D02
84,4.A.2.a.1.I03.D04
85,4.A.4.a.5.I07.D03
86,4.A.4.c.1.I03.D04
87,4.A.4.b.4.I01.D17
88,4.A.3.a.2.I09.D13
89,4.A.4.b.4.I11.D01
90,4.A.2.a.4.I07.D05
91,4.A.2.b.1.I08.D11
92,4.A.1.b.3.I01.D11
93,4.A.3.a.2.I20.D05
94,4.A.3.a.2.I20.D01
95,4.A.4.b.6.I06.D05
96,4.A.3.a.2.I47.D02
97,4.A.1.b.2.I07.D14
98,4.A.1.a.2.I08.D01
99,4.A.1.a.2.I09.D01
100,4.A.4.a.2.I01.D01
101,4.A.3.a.3.I07.D05
102,4.A.2.b.2.I18.D21
103,4.A.1.a.2.I01.D09
104,4.A.3.b.6.I12.D02
105,4.A.3.b.6.I08.D27
106,4.A.2.a.4.I10.D02
107,4.A.2.b.2.I21.D01
108,4.A.2.a.1.I04.D02
109,4.A.3.b.4.I02.D15
110,4.A.3.a.3.I12.D02
111,4.A.4.b.6.I06.D03
112,4.A.1.b.2.I07.D17
113,4.A.4.c.1.I03.D01
114,4.A.3.b.6.I08.D26
115,4.A.4.b.3.I04.D02
116,4.A.1.a.1.I02.D14
117,4.A.3.a.2.I41.D05
118,4.A.3.a.4.I01.D07
119,4.A.4.c.3.I06.D03
120,4.A.2.b.1.I01.D04
121,4.A.3.a.2.I35.D06
122,4.A.1.b.2.I02.D02
123,4.A.1.a.2.I11.D08
124,4.A.3.b.6.I11.D04
125,4.A.1.a.2.I09.D03
126,4.A.3.a.1.I11.D03
127,4.A.4.b.6.I01.D02
128,4.A.2.b.2.I08.D04
129,4.A.2.b.2.I05.D04
130,4.A.2.a.2.I02.D01
131,4.A.4.c.1.I03.D08
132,4.A.3.a.2.I06.D03
133,4.A.4.a.5.I11.D08
134,4.A.4.b.3.I04.D14
135,4.A.1.a.2.I02.D11
136,4.A.3.a.3.I09.D03
137,4.A.1.a.1.I02.D09
138,4.A.4.a.5.I07.D02
139,4.A.4.a.5.I10.D02
140,4.A.3.a.2.I34.D01
