DWA_ID,step_order,action_description,mapped_stage,cognitive_or_physical,cluster_id,intelligence_type,confidence,conf_LLM,conf_Multimodal_Perception,conf_Embodied,conf_Human_Bound
4.A.3.b.4.I02.D18,1,Receive maintenance request and review equipment's maintenance history.,Intent_Communication,Cognitive,30,Multimodal_Perception,0.735,0.2598,0.735,0.0025,0.0026
4.A.3.b.4.I02.D18,2,Navigate to the equipment location.,Navigation_Addressing,Physical,-1,Multimodal_Perception,0.5144,0.0197,0.5144,0.4642,0.0018
4.A.3.b.4.I02.D18,3,Power down the equipment following safety protocols.,Navigation_Addressing,Physical,34,Multimodal_Perception,0.6017,0.0308,0.6017,0.3374,0.0301
4.A.3.b.4.I02.D18,4,"Visually inspect the equipment for signs of wear, damage, or misalignment.",Perception_Diagnosis,Cognitive,34,Multimodal_Perception,0.9998,1e-04,0.9998,1e-04,0.0
4.A.3.b.4.I02.D18,5,"Perform necessary maintenance tasks (e.g., lubrication, tightening, component replacement).",Manipulation_Execution,Physical,34,Multimodal_Perception,0.6838,0.1796,0.6838,0.1222,0.0144
4.A.3.b.4.I02.D18,6,Power up the equipment and test its functionality.,Feedback_Verification,Physical,-1,Multimodal_Perception,0.9917,0.004,0.9917,0.0041,0.0002
4.A.3.b.4.I02.D18,7,"Document the maintenance performed, any issues identified, and the equipment's current condition.",Feedback_Verification,Cognitive,-1,Multimodal_Perception,0.6551,0.3397,0.6551,0.0021,0.0031
4.A.3.b.4.I02.D18,8,"Notify relevant personnel (e.g., supervisor) of the completion of maintenance.",Intent_Communication,Cognitive,30,LLM,0.6327,0.6327,0.24,0.0885,0.0388
4.A.2.b.6.I02.D05,1,Continuously monitor real-time traffic data from various sources.,Perception_Diagnosis,Cognitive,10,LLM,0.6567,0.6567,0.2619,0.0556,0.0258
4.A.2.b.6.I02.D05,2,Identify congestion points and potential alternative routes.,Perception_Diagnosis,Cognitive,10,LLM,0.7751,0.7751,0.1208,0.0874,0.0167
4.A.2.b.6.I02.D05,3,"Evaluate alternative routes based on time, distance, and potential hazards.",Perception_Diagnosis,Cognitive,10,LLM,0.683,0.683,0.0665,0.1215,0.129
4.A.2.b.6.I02.D05,4,Select the most efficient and safe route.,Intent_Communication,Cognitive,10,Embodied,0.7982,0.1018,0.0137,0.7982,0.0863
4.A.2.b.6.I02.D05,5,Transmit the new route to the vehicle's navigation system.,Navigation_Addressing,Physical,10,Embodied,0.7471,0.144,0.0483,0.7471,0.0606
4.A.2.b.6.I02.D05,6,Adjust the vehicle's speed to optimize travel time while adhering to traffic laws.,Manipulation_Execution,Physical,10,Embodied,0.7883,0.0898,0.0679,0.7883,0.054
4.A.2.b.6.I02.D05,7,Continuously monitor the vehicle's progress and adjust the route as needed.,Perception_Diagnosis,Cognitive,10,LLM,0.3531,0.3531,0.2518,0.3494,0.0457
4.A.3.a.1.I10.D10,1,"Receive instructions from supervisor regarding material type, quantity, and destination.",Intent_Communication,Cognitive,28,Embodied,0.5555,0.3719,0.0488,0.5555,0.0238
4.A.3.a.1.I10.D10,2,Locate and identify the designated material in the storage area.,Perception_Diagnosis,Cognitive,28,Embodied,0.894,0.0284,0.0765,0.894,0.0012
4.A.3.a.1.I10.D10,3,"Transport the material to the designated location using appropriate equipment (forklift, hand truck, etc.).",Navigation_Addressing,Physical,28,Embodied,0.9983,0.0013,0.0002,0.9983,0.0002
4.A.3.a.1.I10.D10,4,"Unload and position the material at the specified location, ensuring stability and alignment.",Manipulation_Execution,Physical,-1,Embodied,0.9408,0.0013,0.0571,0.9408,0.0009
4.A.3.a.1.I10.D10,5,Verify the accuracy of the delivery location and quantity with the supervisor or project plans.,Feedback_Verification,Cognitive,28,LLM,0.812,0.812,0.1,0.0791,0.0089
4.A.3.a.2.I46.D03,1,"Inspect the object for any protrusions, damage, or irregularities that might interfere with rigging attachment or affect weight distribution.",Perception_Diagnosis,Physical,34,Multimodal_Perception,0.996,0.0002,0.996,0.0037,1e-04
4.A.3.a.2.I46.D03,2,"Select appropriate rigging gear (slings, shackles, hooks) based on the object's weight, size, lifting points, and the type of lifting equipment to be used.",Intent_Communication,Cognitive,-1,Embodied,0.9121,0.0132,0.0728,0.9121,0.0019
4.A.3.a.2.I46.D03,3,Position the rigging equipment near the designated lifting points on the object for easy access.,Navigation_Addressing,Physical,26,Embodied,0.9238,0.0013,0.074,0.9238,0.0009
4.A.3.a.2.I46.D03,4,"Attach the slings to the object at the designated lifting points, ensuring they are properly seated, aligned, and free from twists.",Manipulation_Execution,Physical,26,Embodied,0.973,0.0013,0.0232,0.973,0.0025
4.A.3.a.2.I46.D03,5,"Connect the shackles to the slings and the lifting hook (crane or forklift), ensuring all connections are secure.",Manipulation_Execution,Physical,-1,Embodied,0.9904,0.0007,0.0079,0.9904,0.001
4.A.3.a.2.I46.D03,6,"Visually inspect all rigging connections for proper alignment, secure attachment, and absence of damage.",Feedback_Verification,Physical,34,Multimodal_Perception,0.9984,0.0003,0.9984,0.0013,0.0
4.A.3.a.2.I46.D03,7,Communicate with the crane operator or forklift driver to confirm the rigging is complete and ready for lifting.,Intent_Communication,Cognitive,-1,Embodied,0.9158,0.0035,0.0778,0.9158,0.0028
4.A.4.b.4.I12.D32,1,Review the project schedule and identify tasks requiring inter-departmental coordination.,Intent_Communication,Cognitive,31,LLM,0.9769,0.9769,0.0011,0.0005,0.0215
4.A.4.b.4.I12.D32,2,Schedule a coordination meeting with key personnel from relevant departments.,Navigation_Addressing,Cognitive,-1,LLM,0.7553,0.7553,0.0005,0.0021,0.2421
4.A.4.b.4.I12.D32,3,"During the meeting, discuss task dependencies, potential roadblocks, and assign clear responsibilities.",Perception_Diagnosis,Cognitive,-1,LLM,0.6165,0.6165,0.001,0.0041,0.3783
4.A.4.b.4.I12.D32,4,"Update the project schedule reflecting agreed-upon responsibilities, deadlines, and dependencies.",Manipulation_Execution,Cognitive,31,LLM,0.9519,0.9519,0.0005,0.0026,0.0451
4.A.4.b.4.I12.D32,5,"Share the updated schedule with all involved parties, confirming understanding and agreement.",Intent_Communication,Cognitive,31,Human_Bound,0.6735,0.301,0.0007,0.0248,0.6735
4.A.4.b.4.I12.D32,6,"Monitor progress, proactively address any emerging issues, and facilitate communication between departments.",Perception_Diagnosis,Cognitive,31,LLM,0.8965,0.8965,0.0035,0.001,0.099
4.A.4.a.7.I02.D12,1,"Define the scope of services needed, including specific requirements and budget constraints.",Intent_Communication,Cognitive,-1,LLM,0.9945,0.9945,1e-04,1e-04,0.0053
4.A.4.a.7.I02.D12,2,Research and identify potential service providers who specialize in the required services.,Navigation_Addressing,Cognitive,3,LLM,0.9655,0.9655,0.0005,0.0009,0.0331
4.A.4.a.7.I02.D12,3,Initiate contact with shortlisted providers and schedule meetings to discuss their offerings.,Intent_Communication,Cognitive,3,LLM,0.8475,0.8475,0.0016,0.0099,0.141
4.A.4.a.7.I02.D12,4,"During meetings, actively listen to provider presentations, ask clarifying questions, and assess their suitability.",Perception_Diagnosis,Cognitive,1,LLM,0.5406,0.5406,0.0074,0.0012,0.4508
4.A.4.a.7.I02.D12,5,"Request detailed proposals from promising providers, outlining specific requirements, timelines, and pricing.",Intent_Communication,Cognitive,3,LLM,0.9489,0.9489,0.0005,0.002,0.0485
4.A.4.a.7.I02.D12,6,"Carefully review proposals, comparing offerings, pricing, terms, and potential risks.",Perception_Diagnosis,Cognitive,3,LLM,0.9464,0.9464,0.0006,0.0003,0.0527
4.A.4.a.7.I02.D12,7,"Negotiate key terms with the preferred provider, leveraging market research and budget constraints.",Manipulation_Execution,Cognitive,3,LLM,0.6985,0.6985,0.0003,0.0091,0.2921
4.A.4.a.7.I02.D12,8,"Finalize the contract, ensuring all agreed-upon terms are clearly documented and legally sound.",Manipulation_Execution,Cognitive,-1,Human_Bound,0.7971,0.192,0.0003,0.0107,0.7971
4.A.4.a.7.I02.D12,9,Obtain necessary signatures and distribute copies of the finalized contract to all parties involved.,Feedback_Verification,Physical,-1,Human_Bound,0.6455,0.3028,0.0003,0.0513,0.6455
4.A.1.a.2.I01.D04,1,Review the maintenance schedule and identify equipment requiring lubrication.,Intent_Communication,Cognitive,34,Multimodal_Perception,0.8689,0.1229,0.8689,0.0066,0.0017
