macro_expanded,LLM,Multimodal_Perception,Embodied,Human_Bound
M2,16.568483063328422,26.730486008836525,56.111929307805596,0.5891016200294551
M4-HVAC,3.708791208791209,86.95054945054946,8.928571428571429,0.4120879120879121
M4-patrol,40.44444444444444,17.62962962962963,9.481481481481481,32.44444444444444
M1,29.080118694362017,12.314540059347182,52.89317507418397,5.712166172106825
M6,52.562779497764026,6.0887512899896805,4.265565875472997,37.082903336773306
M5,87.12972420837589,10.010214504596528,0.20429009193054137,2.6557711950970377
Noise,55.54372893383005,21.678197622849034,15.91271953166578,6.865353911655135
M4-data,85.78680203045685,11.928934010152284,1.1844331641285957,1.0998307952622675
M7,94.83726150392818,1.5712682379349048,3.5914702581369253,0.0
M3,31.25,5.357142857142857,63.39285714285714,0.0
