a,b,n_a,n_b,p_raw,p_bonf,sig
M1,M9,129,56,0.7644579436516548,1.0,False
M1,M10,129,391,0.0048052170224946,0.3171443234846477,False
M1,Noise,129,735,0.1669155398774368,1.0,False
M1,mixed_dwa,129,115,0.1297778908419209,1.0,False
M6,M7,76,78,0.0031036867248038,0.2048433238370525,False
M9,M10,56,391,0.0093341632699079,0.6160547758139268,False
M9,Noise,56,735,0.160810984787613,1.0,False
M9,mixed_dwa,56,115,0.1220859851143838,1.0,False
M10,Noise,391,735,0.0201950867932575,1.0,False
M10,mixed_dwa,391,115,0.3908556413908657,1.0,False
Noise,mixed_dwa,735,115,0.5417518517782716,1.0,False
