a,b,n_a,n_b,p_raw,p_bonf,sig,a_origin,b_origin,semantic_class
M1,M6,129,76,3.26361133138238e-08,2.1539834787123704e-06,True,M1×3,M4×3,cross-category
M1,M7,129,78,6.029941006359795e-15,3.979761064197465e-13,True,M1×3,M4×2,cross-category
M1,M8,129,137,2.8754913237109623e-13,1.8978242736492348e-11,True,M1×3,M4×4,cross-category
M6,M8,76,137,1.5212556754278379e-27,1.0040287457823732e-25,True,M4×3,M4×4,within-category
M6,M9,76,56,5.3942979833992384e-08,3.560236669043497e-06,True,M4×3,M5×4,within-category
M6,M10,76,391,2.198297597434283e-05,0.0014508764143066,True,M4×3,M6×7,cross-category
M6,Noise,76,735,9.759674540344709e-08,6.441385196627507e-06,True,M4×3,Noise,cross-category
M6,mixed_dwa,76,115,2.1983413678535952e-05,0.0014509053027833,True,M4×3,mixed_dwa,cross-category
M7,M8,78,137,3.6769293336113085e-34,2.426773360183464e-32,True,M4×2,M4×4,within-category
M7,M9,78,56,5.831856120459836e-15,3.8490250395034923e-13,True,M4×2,M5×4,within-category
M7,M10,78,391,5.088164094349729e-12,3.3581883022708206e-10,True,M4×2,M6×7,cross-category
M7,Noise,78,735,5.64047083598891e-15,3.7227107517526813e-13,True,M4×2,Noise,cross-category
M7,mixed_dwa,78,115,2.8105767661928085e-11,1.8549806656872534e-09,True,M4×2,mixed_dwa,cross-category
M8,M9,137,56,1.6852077656616239e-10,1.1122371253366721e-08,True,M4×4,M5×4,within-category
M8,M10,137,391,1.552059225398906e-30,1.024359088763278e-28,True,M4×4,M6×7,cross-category
M8,Noise,137,735,1.9365690547112013e-25,1.2781355761093929e-23,True,M4×4,Noise,cross-category
M8,mixed_dwa,137,115,9.606333207158336e-18,6.340179916724502e-16,True,M4×4,mixed_dwa,cross-category
