a,b,n_a,n_b,U,p_raw,p_bonf,cliffs_delta,sig
M1,M2,132,169,18465.0,3.1343315536231277e-24,8.776128350144758e-23,0.6554599246906939,True
M1,M4,132,323,21129.5,0.8824688591799209,1.0,-0.008842292898020453,False
M1,M5,132,59,3283.5,0.08339077489712073,1.0,-0.15677966101694915,False
M1,M6,132,396,27404.0,0.40347647912963536,1.0,0.0485154576063667,False
M1,M7,132,99,5481.5,0.035786168938160806,1.0,-0.1610805019895929,False
M1,Noise,132,684,51048.5,0.016805074668517096,0.4705420907184787,0.13079257487152224,False
M1,mixed_dwa,132,96,6644.5,0.530456363758637,1.0,0.048690025252525256,False
M2,M4,169,323,6450.0,8.207062119572476e-45,2.2979773934802932e-43,-0.7636799970688992,True
M2,M5,169,59,494.5,1.19760144520193e-27,3.353284046565404e-26,-0.9008123558319125,True
M2,M6,169,396,7734.5,5.200084974897737e-48,1.4560237929713663e-46,-0.7688572111649035,True
M2,M7,169,99,821.5,2.294514669980105e-37,6.424641075944295e-36,-0.9017990556452095,True
M2,Noise,169,684,23323.0,4.5970185953057305e-34,1.2871652066856046e-32,-0.5964739264334405,True
M2,mixed_dwa,169,96,2397.0,1.627177244822714e-23,4.556096285503599e-22,-0.7045118343195266,True
M4,M5,323,59,7757.5,0.02286970875352047,0.6403518450985732,-0.1858634622448444,False
M4,M6,323,396,71609.5,0.005679775890405506,0.15903372493135418,0.11970322419238828,False
M4,M7,323,99,12431.5,0.00077810216827123,0.02178686071159444,-0.2224724020389655,True
M4,Noise,323,684,129451.5,9.921988706639948e-06,0.00027781568378591856,0.17186736190321003,True
M4,mixed_dwa,323,96,16815.5,0.20764512530180212,1.0,0.08459107327141382,False
M5,M6,59,396,16244.5,1.2462490780025576e-06,3.489497418407161e-05,0.3905581236089711,True
M5,M7,59,99,2721.0,0.46427196258928527,1.0,-0.06831022085259374,False
M5,Noise,59,684,27679.0,1.917534792565485e-06,5.3690974191833576e-05,0.37174150064426603,True
M5,mixed_dwa,59,96,3666.0,0.0020276910685766364,0.05677534992014582,0.2944915254237288,False
M6,M7,396,99,11147.0,2.8498314216907327e-11,7.979527980734051e-10,-0.43133353739414343,True
M6,Noise,396,684,144138.5,0.07738680480295575,1.0,0.06428687459389214,False
M6,mixed_dwa,396,96,18386.5,0.6189898856765448,1.0,-0.03269675925925926,False
M7,Noise,99,684,47517.0,6.995295173905764e-11,1.958682648693614e-09,0.4034201665780613,True
M7,mixed_dwa,99,96,6358.0,4.0805750798092046e-05,0.0011425610223465773,0.33796296296296297,True
Noise,mixed_dwa,684,96,29965.0,0.16382461753153,1.0,-0.08732334307992203,False
