a,b,p_TOST_d02,p_TOST_abs
M1,M4,0.13700461831776684,0.08628270494236527
M1,M5,0.9482659614120041,0.9271015629224657
M1,M6,0.04838057827116409,0.024855346152969287
M1,Noise,0.5219636293396308,0.41136052825636915
M1,mixed_dwa,0.13790159104152566,0.09977681068464211
M4,M5,0.9318615873008165,0.896659742630604
M4,M6,0.12009577102122775,0.054104360126751294
M4,Noise,0.8917586384159915,0.7937990042380826
M4,mixed_dwa,0.22690609860542035,0.15599468111111944
M5,M6,0.9967454039635752,0.9931895059949978
M5,Noise,0.9996124506343524,0.9992031857787455
M5,mixed_dwa,0.9877370152068837,0.9792103913263195
M6,Noise,0.30044316299845447,0.1619623992249234
M6,mixed_dwa,0.024913727106514523,0.012098255401803686
Noise,mixed_dwa,0.40138102899521755,0.3076759417485208
M2,M7,1.0,1.0
